#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
according,,従う,0GmqSt1eawfv549gf7TE
warehouse,,倉庫,0pgFrZtOf35d83l7mcnK
strike,,ストライキ,0qlCSrSaCEF1i8vZ8MeO
candidate,,候補者,13hgO6jnb5pn5tcjHFcO
package,,包み,13ww67PRZJLvPTtMwBu0
patience,,忍耐,14f9MpN2VQLT0a4pryLS
respect,,尊敬,1BSJ6ETLuH5vmEI3mqiM
compensation,,補償,1CWVD2tTPyG8sfqltvy7
preference,,好み,1GBbOxhgwvpVnwoTVf47
abroad,,海外,1NZP88JTKgG3shk1J86j
appeal,,訴え,1O4nbAQlb4c3vIJVT1TQ
personal,,個人的,1Q7Nhn7d2mKklU8aVJXQ
lack,,欠く,1cm6qOLHZZm9YhTc0Wtp
container,,容器,1kaUUg3H1l8fvuw3G0ye
memo,,メモ,1lTqdKbZ8QqrM0XpmIwa
appliance,,家電用具,1rpVCq4PcPm9zlqmYqvc
fee,,料金,1untAaI9zu0t6cTcRX21
conclusion,,結論,22Xs9g2S999IfHGbaVD9
organization,,組織,26ImEzTAOnQcoc5XoYAP
turnover,,離職率,2JyoxgwpmNwDF9DnGevN
complimentary,,無料の,2PVdMgG7RjecsFOQTnld
restore,,復旧する,2RspssZ3c4cHLPHymhCH
drawer,,引き出し,2Y0asBvPBA6BRfV7psMZ
postpone,,延ばす,2b8o8gis8Q6kyBlRrYFQ
selective,,選択的,2hOh48OWVPgkou9G1bmt
resolve,,決意する,2lL9Bh5LdTa0WkGc1hUg
experiment,,実験,2mNaWbBgsnIoLa0gl6nw
drive,,運転する,2raeuBmIlPYDCrC81Alh
plumber,,配管工,30Rx5lJXY542GADvZ0Ui
journal,,日記,37fEiIlyni0qtPpEaVOV
property,,財産,3Br6VMxsSPKfCazxvc4X
several,,数つ,3FDyqx7H9CgQTSaVfHBG
dependence,,依存,3Fz4t2JjIGJdjoybOY9H
connection,,接続,3GXc14m6cwRSPirerecO
assign,,割り当てる,3JRvhvFKVxgPSzyZgHNP
alternative,,代替案,3Jk1OFchKYaUNetm4v55
develop,,開発する,3MeEsr4Ii1BMuYtVhVBn
publicity,,広報,3SqFXtahBfMnwXb3QCqp
crash,,衝突する,3b8oVm4zfXXRYzYATTfH
inclusion,,包摂,3eA6IItQKXYCZkkaTxav
expansion,,拡張,3eSia69xQeUsUQr5N703
livestock,,家畜,3kVQuoDDrFziiqYzxJBk
condition,,条件,3lVUhHRnZncRh9OsJJxa
misrepresent,,誤って伝える,3m8XvwB4DOeG3n5bb3b1
immediately,,直ちに,3vrGrXumUJtSeLc47loD
acquire,,取得する,3wELUBkK9rhSJqSeUOHn
event,,出来事,3z1IJq7hBEkDzmJQffoG
damage,,損害,41WaU9021pw8wSUaG7OZ
significant,,重要な,424p7vYCuRUhrpF3GF2A
chair,,椅子,466pyrjbkfyGKSF3HhFL
cautious,,慎み深い,4BNmqyzqkwBJAwXakUJZ
cover letter,,送付状,4CiE3AvOWjHLy2R5zavR
cancel,,取消し,4CwqukG9Roplg7Fo5Dor
rehearse,,リハーサルする,4FLahtfWqIy24zqTUCXg
overdraft,,当座貸越,4Gzx6io5ZofODoxcojVQ
scene,,場面,4JpyTxvWwOw186f7u8V2
achieve,,達成する,4Ktucof1VIM5GIHlo26e
potential,,潜在的,4Lg7ckVwgdcbBCcDL9m1
fair,,公平,4Q56r3yUXsKhSQiEesuU
enable,,有効にする,4RUqDzrugrJViFIGtzf1
obviously,,明らかに,4VMaeLLzwy3EFdg3DRSf
incentive,,動機づけ,4c4hn8sx991AVY7Y4r1E
particularly,,特に,4dD97hQCptN48OoHUODt
install,,インストールする,4lNu7eJeyKCa8L10BGvQ
overseas,,海外,4n3wamnWo8wn1BCk6FEm
inexperienced,,未経験の,4r5QXog60xzl6s2XquU0
information,,情報,4s2hJFenfmMqIPcL3bSI
firm,,会社,4uZs2Bn3xFf5rR6UJePt
competent,,有能な,57m1kqqm7PwV7lZoUoXJ
awareness,,意識,58hthqZMdeXOcpmLSHbX
position,,位置,5KdF89U4GpnqoHnrVwjo
qualified,,資格のある,5MYehwbyHfqnQ8X0U19S
flight,,飛行,5OWwpMaywIVAn2z5svW2
uniform,,制服,5R26SbLl1I4wudSUcYGJ
permanent,,永久的,5VN7xvxNU4U8qu8wlDUe
infer,,推論する,5XhDc7DWyBFSSGh2XXqt
examination,,試験,5Y9d0Gwy6f0AtxVBS6Ls
prohibit,,禁止する,5ejDl1BQWfJDIscrwE81
protection,,保護,5jGWQHk8BRhuJplvOpW5
drop,,落とす,5nTtjhRbHniLLq0Sx0NA
jealous,,嫉妬深い,5ot3GdIU838PD28nvPzG
license,,免許,5pC3VgmH4ooquNEmUyVg
consultant,,顧問,5qI8FfJJfhKQOqkX3S9q
climate,,気候,5yqzEpjbNB3aXadXxPbg
trend,,趨勢,5z2PpXatVo5RSaw5z4VY
merchandise,,商品,600PwSdPjTUU0Hbs6bBZ
boarding pass,,搭乗券,6151WNB4s7xjrPvelojE
process,,過程,62zmYBTZzuZGX012E3G4
capacity,,容量,66Ai6QVoZIWmyIbmPprN
itemize,,項目別に並べる,66bupQtu3mNeCnIjelo2
plug in,,差し込む,6BPqvxn9Sm9jYrkOdIXD
limousine,,リムジン,6I2B4eDZMmOQiguUFxoW
triumph,,勝利,6RUOd7bhyOGcTyOseq7P
journey,,旅,6VOmDTmDcaRYC5IEfRGw
file,,ファイル,6Viy12b2WOS6oEbVAekD
efficiency,,効率,6WfLsx8eTmOWsY18NYTg
apprentice,,見習い,6abKjR8ZXel5AGLhnWp3
explore,,探検する,6jeCXYomWsijlZ7Bjw56
spacious,,広々とした,6lL2rp4oHaXjNgqE7ogp
analysis,,分析,6ovRObS08h5qKxKA7I1l
point,,点,6qAcwG2ln86dklfEWCCm
calculate,,計算する,6s0uXtfIEGZsXktCPUYw
supervise,,監督する,6zCjbjYbqG3h3m1URtma
list,,リスト,6zDPMrZcOCNup0YDT6Jk
commit,,委託する,7048KlQVE2ue2L4evpYD
annoying,,煩わしい,71doLXtLlCjyvJiNCsZ2
demand,,需要,71gwJ2jVSnC5BcOAVEsJ
stable,,安定した,73KQ2LW1Y0pHMGGD46iV
rearrange,,再配列する,7B6747F1oYA3zw64clxc
earn,,稼ぐ,7F0kaCMCIthCeg5OPUYx
appointment,,予約,7Fenpuhy991sx6HJosGr
adjustment,,調整,7KwybTj9ozQxLsH9kN6U
afford,,余裕がある,7KxNYUfxUrGvgG1YVyOG
hire,,雇う,7RZVXvWVphTa4Phzr6xm
suitability,,適合性,7YX63WvZ6zyd8rOJ4t6p
profitability,,収益性,7i5sjMBkN3rVyhi8w9YQ
outline,,輪郭,7m5vXfH8rbr7V0xM2Byu
concede,,譲る,7p21ijRDKaO7OS9VI1Pm
impact,,衝撃,80G9hNHZ4T8AOB6y5O5Z
deliver,,届ける,843wJEKEDI6uSFGQKHub
membership,,会員資格,86gAlTHUJHAT9sImcn4F
fix,,修す,8C1aXboltoOGq81aQBrD
competitive,,競争的な,8PsCpxb1GtTIzEIvrPTw
organize,,組織する,8UfivHdjZLGE8GLhOcQZ
delay,,遅延,8aRQdm3jydGLDOgDTDbj
distribute,,分配する,8eedKGfYy26WIf0mFZie
plant,,植物,8qVjFDOISTAr9QmBt3rj
balance,,平衡,8qk9CBBhCdggqCwscM2W
