#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
マイナス,マイナス,負號,01IB65slaSfRgmgFwplh
梅,うめ,梅，最低等級,01uDb6omv6jKUSQY42Xo
分野,ぶんや,領域,03ip9cyBpH6rwrk3tk0I
応じる,おうじる,回應，遵守，適應,05dRGPp2j1HhABrtQVsP
灰,はい,灰,0646OZWioLVWFErF1mGc
都,みやこ,都市,07B6shuYAOa8wY2tTbF0
祭,まつり,祭典,07EldTVWYIHo5ufhoIou
候補,こうほ,候補資格,08GSk5bYr6ZivC37Hym2
越す,こす,越過,08LEw3890etvLZuUWWUq
はあ (かん),はあ (かん),嘆息,0DolARgEPMx8XAskhVgx
一帯,いったい,一帶,0G2IGAEjHQUM9lDA7l2p
区別,くべつ,區別,0GQ6kA9uyGVjZYxulPlL
熱帯,ねったい,熱帶,0HHa7eqXLtIQMYP1Ep9H
字体,じたい,字體,0HKMBn9OEYc6rgvPVVLT
市場,しじょう,市場,0HoOE4IHBkFQKsu1Ghdw
表面,ひょうめん,表面,0HttjgUycT5u6v3cFjnu
慎重,しんちょう,謹慎,0K7qY3Zjh9KwdwzEtb1p
住民,じゅうみん,居民,0L0mX7gNIX0cc25f2PXt
泳ぎ,およぎ,游泳,0L7XD8NyBz2NlZSizItH
次第,しだい,順序，情況，立即,0MGOMr8hmWGglD0BgYzC
支払,しはらい,支付,0QvZvFZthZIf0d0SNubx
器官,きかん,器官,0RcV0ImKAsww9uN7vMKs
胡椒,こしょう,胡椒,0Sqg1anMK4xpedFDj9bu
戦い,たたかい,戰鬥,0T9mfiVGKpLpgPwKh2OS
刑,けい,刑罰、判決、處罰,0TKERn7C97L0U5dUode7
偶々,たまたま,偶然地，意外地,0TuqVCj97dBlbZQMw6QS
お洒落,おしゃれ,時尚的，講究穿著的,0Xn1rJ7gv7ZaD2nq2qdx
女王,じょおう,女王,0XsdzFhqVCtDgP0kRODL
滞在,たいざい,滯在,0YT6dBB2SaIzZlT7ihV3
今日,こんにち,今日,0Z3OI8L8CUzoP88UFef4
煮える,にえる,煮熟,0a1apwaCGvIg7OP1c0OB
建設,けんせつ,建設，基礎,0bUqCkTcpvYF54fNoiLf
不平,ふへい,不平,0fQuGoAVtoG05qlSKIIN
大した,たいした,重要的，偉大的，相當大的,0fd8M7kCETX6QAXfoaYd
注,ちゅう,註釋,0iSlLNybcu3OoINoUA9o
ブレーキ,ブレーキ,煞車,0jK0JzrPjv62BqLmHRVU
地球,ちきゅう,地球,0kkREDxgVg9ZYWCBGkMz
文字,もんじ,文字,0lpSfn56AsX2UGT8KhNk
才能,さいのう,才能,0nohm5JtYs6dDSZRsYcH
法,ほう,法,0nztYK87DNVd25jFQlOu
失業,しつぎょう,失業,0pTpHkQeJuC1aF2yVHWT
墨,すみ,墨,0qJC8sKChCrC5MShsLUv
無事,ぶじ,"安全, 平安",0r8jVQdNp2pjqVkUsuoW
延期,えんき,延期,0sEYKAgNruWSqaT1VNt4
郵便,ゆうびん,郵便,0sQ3JUZF5BUhMguKsNi1
協力,きょうりょく,協力,0xp4iN6WGaFnWdhNcbF0
アウト,アウト,出局,0yEyZXYzz0rrev6Hfr0S
気の毒,きのどく,可憐的，真可惜,0zAf9T5hnJiFQG0AGeIe
あんなに,あんなに,那麼多，那種程度,0zxFAT9NrxEC8542EV6B
勧める,すすめる,推薦，勸導,10BfHDxLOwVX3BP7n4HG
湿気,しっき,濕氣,10MbEq7yP4v38paRiEke
琴,きん,箏,10bfjLlMQ5fYTBcKiDWF
いつか,いつか,某時，有一天,11DIlID0z07x5lP7yh4x
あんまり,あんまり,不太,12CtTJTptOCWOtPsmfNl
自然,しぜん,自然,13ZZKadivUlW4WKwZ11o
刑事,けいじ,刑事案件，刑事警察,188HPfNo7TKrp2QaxPjh
住,じゅう,住,1CD91qVb8OLPMqXB9CEp
膳,ぜん,膳盤,1GBObHtZN84Gnd2LCWxX
全身,ぜんしん,全身,1HkcFBhQ2IhnMbO7ReG0
不通,ふつう,中斷、封鎖、停止,1IV8bV3cJInfEsXC9PzC
ケース,ケース,箱子,1NcqbL6muDtvN26AsWVG
コード,コード,代碼、繩索、和弦,1ORUynfnzXNw6VEbnpfR
今後,こんご,今後,1Ol2wGluzUY9B3x4Hii1
給料,きゅうりょう,薪水,1PlJD9IqmGCeoP1pnjt2
沈む,しずむ,沉沒；感到沮喪,1Ubw5gf4JScdujdZc64d
兎,うさぎ,兔,1V6anM9vcNDNmejsDTdw
恐ろしい,おそろしい,恐怖的,1V8lVF9dcboObHOgZDvd
ほっと,ほっと,鬆了一口氣,1VFCdWcSAX3hTknWfsAw
欠席,けっせき,缺席,1VpjXpBa0TmS4b7VUxui
犯罪,はんざい,犯罪,1YdvpG1MMPS7r5MHZl8M
地位,ちい,地位,1andE2eBB3W1r6fHtbgG
土産,みやげ,伴手禮,1bAHH4r06pY5vY5OX4rK
明確,めいかく,明確,1bhgenio7atf9L1LljSc
建つ,たつ,建立,1dJ9du3W05WJfbNbUE4K
衝突,しょうとつ,衝突,1iPWSMgRpSL0QAokgVwD
握る,にぎる,握住，抓住，捏壽司,1k6zxJRysuLvTr9F7MMT
実行,じっこう,執行,1nd3YG7Xm94fVmWDVoCe
義務,ぎむ,義務,1o3yv7lXcyNoRpZZdSk9
深刻,しんこく,深刻,1oHvlP0h6ZDNRAITw4F1
いけない,いけない,不可以，壞的，錯誤,1oel0BZmDJTPsAZS6ms1
自動,じどう,自動,1oyfQj7tynvINaMWP1Xk
方,ほう,位／方法,1p5SlV7zBTrTKDvltU0b
材料,ざいりょう,材料,1sgh9nedJzUjYm1zv5qf
個人,こじん,個人,1tnHimZSE2S8g6fnnIvn
澄む,すむ,變清澈,1vqwzKMDZuB38kJtlZYY
表す,あらわす,"表示, 展現",1xjCx1Fwdo3qnUWfLkHn
近視,きんし,近視,1xmZMWP90HB0EeiZkeDO
逮捕,たいほ,逮捕,1y8ejVJyquMaMuVMQUAQ
判断,はんだん,判斷,1yjBxaQWq9UeR8ypPFMY
ワイン,ワイン,葡萄酒,26HARng84PUnBGngpn4v
害,がい,害,26eYNmqfYtBl7l6fqI5P
級,きゅう,級,26vnE90oDFpLLAMjgyT1
亡くす,なくす,失去（親友或家人）,274XMjHFJFH8trmxlhsj
確認,かくにん,確認,27Cwhfawks24kPDeUcvX
ラケット,ラケット,球拍,28jKkleqmcPq9ezS3lYX
濃い,こい,濃厚,2BJtqnUgZy5o0OnKDG0v
広がる,ひろがる,"擴散, 延伸, 蔓延",2DxiSKj24tinJG4iAwpl
質,しつ,質量、本性,2H7Om3VXHHk3kRqRni9Y
ぴったり,ぴったり,正好，整齊地，準確地,2IIUIYjXFsNYIZepT2Zt
苦痛,くつう,苦痛,2KXHQsjqOSu07Tms5TVW
小銭,こぜに,零錢,2KqtaFICXMgvuUaiW1kV
論争,ろんそう,論爭,2QwsSlBy5G2Wk6EsP6RA
免許,めんきょ,許可證,2YSeV4qU48olojYrFBJg
他,ほか,其他,2YoRx08rSEX4jps0T12u
なにも,なにも,什麼都沒有,2ZJ29j2zD51kuUSUgiAS
妙,みょう,奇怪，不尋常,2g9YQvDZ0yV5zAU7PiSa
判,はん,尺寸,2gFST549k0nUnTR8HCx5
物音,ものおと,聲響,2gGqOFOrJtm6B8hKDKh9
莫大,ばくだい,莫大,2gtYZjduQqtESUKhuJCt
曜日,ようび,星期幾,2hC2OS6Qr4qnAcLDHmwx
海外,かいがい,海外,2jzeVRaAkdzhupzy2nmv
スケジュール,スケジュール,行程,2lQFT1hdE7LuURUK2sZ5
指す,さす,指,2mpLiZdX1fL2g3EScqpV
砂漠,さばく,沙漠,2nl4T6cLtxU8nY1CukEJ
角,つの,角落,2tXoEd6Kd0RQgcFYw33T
機械,きかい,機械,2vIMufdpp1GszhQJWQHG
そこで,そこで,因此，所以,319QymqyB2XYwuwITYJs
従姉妹,いとこ,堂姊妹或表姊妹,34MZVaQsKW28QfFjnTvy
感情,かんじょう,情緒、感情、感受,36irtuIEEXETATwmM3sE
延ばす,のばす,延長、伸展、伸出去,39uVbOfBqEeg8YeYtmwc
じっと,じっと,耐心地，安靜地,3FF9K9Qd766ADHH7T4YB
班,はん,班,3GHA1zzhbwjmS0TYPUBy
暖まる,あたたまる,暖和,3IUjuKXQkRnmjkFKlYdc
優勝,ゆうしょう,冠軍,3Jw5QVpPcAh7F3P4N6fo
生える,はえる,生長，發芽；長（牙齒）,3KPeBajEiJ0QNTD6fHnR
突く,つつく,刺，捅,3N72AEo5DzvwJe18nis1
異常,いじょう,異常,3PR3M0YxNDU1JWRylQSf
